,name,type1,type2,ability1,ability2,hiddenability,hp,atk,physdef,spatk,spdef,speed,bst,alternate,isLegend,isFinal,tier
55,Mankey,fighting,,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,305,False,False,False,LC
56,Primeape,fighting,,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,455,False,False,False,NFE
57,Growlithe,fire,,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,350,False,False,False,LC
58,Arcanine,fire,,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,555,False,False,True,RU
59,Poliwag,water,,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,300,False,False,False,LC
60,Poliwhirl,water,,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,385,False,False,False,NFE
61,Poliwrath,water,fighting,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,510,False,False,True,RU
62,Abra,psychic,,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,310,False,False,False,LC
63,Kadabra,psychic,,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,400,False,False,False,NFE
64,Alakazam,psychic,,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,500,False,False,True,RU
65,Machop,fighting,,Guts,No Guard,Steadfast,70,80,50,35,35,35,305,False,False,False,LC
66,Machoke,fighting,,Guts,No Guard,Steadfast,80,100,70,50,60,45,405,False,False,False,NFE
67,Machamp,fighting,,Guts,No Guard,Steadfast,90,130,80,65,85,55,505,False,False,True,RU
68,Bellsprout,grass,poison,Chlorophyll,Gluttony,,50,75,35,70,30,40,300,False,False,False,LC
69,Weepinbell,grass,poison,Chlorophyll,Gluttony,,65,90,50,85,45,55,390,False,False,False,NFE
70,Victreebel,grass,poison,Chlorophyll,Gluttony,,80,105,65,100,70,70,490,False,False,True,RU
71,Tentacool,water,poison,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,335,False,False,False,LC
72,Tentacruel,water,poison,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,515,False,False,True,RU
73,Geodude,rock,ground,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,300,False,False,False,LC
74,Graveler,rock,ground,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,390,False,False,False,NFE
75,Golem,rock,ground,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,495,False,False,True,RU
76,Ponyta,fire,,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,410,False,False,False,LC
77,Rapidash,fire,,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,500,False,False,True,RU
78,Slowpoke,water,psychic,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,315,False,False,False,LC
79,Slowbro,water,psychic,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,490,False,False,True,RU
80,Magnemite,electric,steel,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,325,False,False,False,LC
81,Magneton,electric,steel,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,465,False,False,False,NFE
82,Farfetch’d,normal,flying,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,377,False,False,True,RU
83,Doduo,normal,flying,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,310,False,False,False,LC
84,Dodrio,normal,flying,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,110,470,False,False,True,RU
85,Seel,water,,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,325,False,False,False,LC
86,Dewgong,water,ice,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,475,False,False,True,RU
87,Grimer,poison,,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,325,False,False,False,LC
88,Muk,poison,,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,500,False,False,True,RU
89,Shellder,water,,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,305,False,False,False,LC
90,Cloyster,water,ice,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,525,False,False,True,RU
91,Gastly,ghost,poison,Levitate,,,30,35,30,100,35,80,310,False,False,False,LC
92,Haunter,ghost,poison,Levitate,,,45,50,45,115,55,95,405,False,False,False,NFE
93,Gengar,ghost,poison,Cursed Body,,,60,65,60,130,75,110,500,False,False,True,RU
94,Onix,rock,ground,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,385,False,False,False,LC
95,Drowzee,psychic,,Insomnia,Forewarn,Inner Focus,60,48,45,43,90,42,328,False,False,False,LC
96,Hypno,psychic,,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67,483,False,False,True,RU
97,Krabby,water,,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50,325,False,False,False,LC
98,Kingler,water,,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,475,False,False,True,RU
99,Voltorb,electric,,Soundproof,Static,Aftermath,40,30,50,55,55,100,330,False,False,False,LC
100,Electrode,electric,,Soundproof,Static,Aftermath,60,50,70,80,80,150,490,False,False,True,RU
101,Exeggcute,grass,psychic,Chlorophyll,Harvest,,60,40,80,60,45,40,325,False,False,False,LC
102,Exeggutor,grass,psychic,Chlorophyll,Harvest,,95,95,85,125,75,55,530,False,False,True,RU
103,Cubone,ground,,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,320,False,False,False,LC
104,Marowak,ground,,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,425,False,False,True,RU
105,Hitmonlee,fighting,,Limber,Reckless,Unburden,50,120,53,35,110,87,455,False,False,True,RU
106,Hitmonchan,fighting,,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,455,False,False,True,RU
107,Lickitung,normal,,Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30,385,False,False,False,LC
108,Koffing,poison,,Levitate,Neutralizing Gas,Stench,40,65,95,60,45,35,340,False,False,False,LC
109,Weezing,poison,,Levitate,Neutralizing Gas,Stench,65,90,120,85,70,60,490,False,False,True,RU
110,Rhyhorn,ground,rock,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25,345,False,False,False,LC
111,Rhydon,ground,rock,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40,485,False,False,False,NFE
112,Chansey,normal,,Natural Cure,Serene Grace,Healer,250,5,5,35,105,50,450,False,False,False,UU
113,Tangela,grass,,Chlorophyll,Leaf Guard,Regenerator,65,55,115,100,40,60,435,False,False,False,LC
114,Kangaskhan,normal,,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,490,False,False,True,RU
115,Horsea,water,,Swift Swim,Sniper,Damp,30,40,70,70,25,60,295,False,False,False,LC
116,Seadra,water,,Poison Point,Sniper,Damp,55,65,95,95,45,85,440,False,False,False,NFE
117,Goldeen,water,,Swift Swim,Water Veil,Lightning Rod,45,67,60,35,50,63,320,False,False,False,LC
118,Seaking,water,,Swift Swim,Water Veil,Lightning Rod,80,92,65,65,80,68,450,False,False,True,RU
119,Staryu,water,,Illuminate,Natural Cure,Analytic,30,45,55,70,55,85,340,False,False,False,LC
120,Starmie,water,psychic,Illuminate,Natural Cure,Analytic,60,75,85,100,85,115,520,False,False,True,RU
121,Mr. Mime,psychic,fairy,Soundproof,Filter,Technician,40,45,65,100,120,90,460,False,False,True,RU
122,Scyther,bug,flying,Swarm,Technician,Steadfast,70,110,80,55,80,105,500,False,False,False,NFE
123,Jynx,ice,psychic,Oblivious,Forewarn,Dry Skin,65,50,35,115,95,95,455,False,False,True,RU
124,Electabuzz,electric,,Static,Vital Spirit,,65,83,57,95,85,105,490,False,False,False,NFE
125,Magmar,fire,,Flame Body,Vital Spirit,,65,95,57,100,85,93,495,False,False,False,NFE
126,Pinsir,bug,,Hyper Cutter,Mold Breaker,Moxie,65,125,100,55,70,85,500,False,False,True,RU
127,Tauros,normal,,Intimidate,Anger Point,Sheer Force,75,100,95,40,70,110,490,False,False,True,RU
128,Magikarp,water,,Swift Swim,Rattled,,20,10,55,15,20,80,200,False,False,False,LC
129,Gyarados,water,flying,Intimidate,Moxie,,95,125,79,60,100,81,540,False,False,True,UU
130,Lapras,water,ice,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,535,False,False,True,RU
131,Ditto,normal,,Limber,Imposter,,48,48,48,48,48,48,288,False,False,True,RU
132,Eevee,normal,,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,325,False,False,False,LC
133,Vaporeon,water,,Water Absorb,Hydration,,130,65,60,110,95,65,525,False,False,True,RU
134,Jolteon,electric,,Volt Absorb,Quick Feet,,65,65,60,110,95,130,525,False,False,True,RU
135,Flareon,fire,,Flash Fire,Guts,,65,130,60,95,110,65,525,False,False,True,RU
136,Porygon,normal,,Trace,Download,Analytic,65,60,70,85,75,40,395,False,False,False,LC
137,Omanyte,rock,water,Swift Swim,Shell Armor,Weak Armor,35,40,100,90,55,35,355,False,False,False,LC
138,Omastar,rock,water,Swift Swim,Shell Armor,Weak Armor,70,60,125,115,70,55,495,False,False,True,RU
139,Kabuto,rock,water,Swift Swim,Battle Armor,Weak Armor,30,80,90,55,45,55,355,False,False,False,LC
140,Kabutops,rock,water,Swift Swim,Battle Armor,Weak Armor,60,115,105,65,70,80,495,False,False,True,RU
141,Aerodactyl,rock,flying,Rock Head,Pressure,Unnerve,80,105,65,60,75,130,515,False,False,True,RU
142,Snorlax,normal,,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30,540,False,False,True,RU
143,Articuno,ice,flying,Pressure,Snow Cloak,,90,85,100,95,125,85,580,False,True,True,RU
144,Zapdos,electric,flying,Pressure,Static,,90,90,85,125,90,100,580,False,True,True,OU
145,Moltres,fire,flying,Pressure,Flame Body,,90,100,90,125,85,90,580,False,True,True,RU
146,Dratini,dragon,,Shed Skin,Marvel Scale,,41,64,45,50,50,50,300,False,False,False,LC
147,Dragonair,dragon,,Shed Skin,Marvel Scale,,61,84,65,70,70,70,420,False,False,False,NFE
148,Dragonite,dragon,flying,Inner Focus,Multiscale,,91,134,95,100,100,80,600,False,False,True,OU
149,Mewtwo,psychic,,Pressure,Unnerve,,106,110,90,154,90,130,680,False,True,True,Uber
150,Mew,psychic,,Synchronize,,,100,100,100,100,100,100,600,False,True,True,UU
151,Chikorita,grass,,Overgrow,Leaf Guard,,45,49,65,49,65,45,318,False,False,False,LC
152,Bayleef,grass,,Overgrow,Leaf Guard,,60,62,80,63,80,60,405,False,False,False,NFE
153,Meganium,grass,,Overgrow,Leaf Guard,,80,82,100,83,100,80,525,False,False,True,RU
154,Cyndaquil,fire,,Blaze,Flash Fire,,39,52,43,60,50,65,309,False,False,False,LC
155,Quilava,fire,,Blaze,Flash Fire,,58,64,58,80,65,80,405,False,False,False,NFE
156,Typhlosion,fire,,Blaze,Flash Fire,,78,84,78,109,85,100,534,False,False,True,RU
157,Totodile,water,,Torrent,Sheer Force,,50,65,64,44,48,43,314,False,False,False,LC
158,Croconaw,water,,Torrent,Sheer Force,,65,80,80,59,63,58,405,False,False,False,NFE
159,Feraligatr,water,,Torrent,Sheer Force,,85,105,100,79,83,78,530,False,False,True,RU
160,Sentret,normal,,Run Away,Keen Eye,Frisk,35,46,34,35,45,20,215,False,False,False,LC
161,Furret,normal,,Run Away,Keen Eye,Frisk,85,76,64,45,55,90,415,False,False,True,RU
162,Hoothoot,normal,flying,Insomnia,Keen Eye,Tinted Lens,60,30,30,36,56,50,262,False,False,False,LC
163,Noctowl,normal,flying,Insomnia,Keen Eye,Tinted Lens,100,50,50,86,96,70,452,False,False,True,RU
164,Ledyba,bug,flying,Swarm,Early Bird,Rattled,40,20,30,40,80,55,265,False,False,False,LC
165,Ledian,bug,flying,Swarm,Early Bird,Iron Fist,55,35,50,55,110,85,390,False,False,True,RU
166,Spinarak,bug,poison,Swarm,Insomnia,Sniper,40,60,40,40,40,30,250,False,False,False,LC
167,Ariados,bug,poison,Swarm,Insomnia,Sniper,70,90,70,60,70,40,400,False,False,True,RU
168,Crobat,poison,flying,Inner Focus,Infiltrator,,85,90,80,70,80,130,535,False,False,True,RU
169,Chinchou,water,electric,Volt Absorb,Illuminate,Water Absorb,75,38,38,56,56,67,330,False,False,False,LC
170,Lanturn,water,electric,Volt Absorb,Illuminate,Water Absorb,125,58,58,76,76,67,460,False,False,True,RU
171,Pichu,electric,,Static,Lightning Rod,,20,40,15,35,35,60,205,False,False,False,LC
172,Cleffa,fairy,,Cute Charm,Magic Guard,Friend Guard,50,25,28,45,55,15,218,False,False,False,LC
173,Igglybuff,normal,fairy,Cute Charm,Competitive,Friend Guard,90,30,15,40,20,15,210,False,False,False,LC
174,Togepi,fairy,,Hustle,Serene Grace,Super Luck,35,20,65,40,65,20,245,False,False,False,LC
175,Togetic,fairy,flying,Hustle,Serene Grace,Super Luck,55,40,85,80,105,40,405,False,False,False,NFE
176,Natu,psychic,flying,Synchronize,Early Bird,Magic Bounce,40,50,45,70,45,70,320,False,False,False,LC
177,Xatu,psychic,flying,Synchronize,Early Bird,Magic Bounce,65,75,70,95,70,95,470,False,False,True,RU
178,Mareep,electric,,Static,Plus,,55,40,40,65,45,35,280,False,False,False,LC
179,Flaaffy,electric,,Static,Plus,,70,55,55,80,60,45,365,False,False,False,NFE
180,Ampharos,electric,,Static,Plus,,90,75,85,115,90,55,510,False,False,True,RU
181,Bellossom,grass,,Chlorophyll,Healer,,75,80,95,90,100,50,490,False,False,True,RU
182,Marill,water,fairy,Thick Fat,Huge Power,Sap Sipper,70,20,50,20,50,40,250,False,False,False,NFE
183,Azumarill,water,fairy,Thick Fat,Huge Power,Sap Sipper,100,50,80,60,80,50,420,False,False,True,RU
184,Sudowoodo,rock,,Sturdy,Rock Head,Rattled,70,100,115,30,65,30,410,False,False,True,RU
185,Politoed,water,,Water Absorb,Damp,Drizzle,90,75,75,90,100,70,500,False,False,True,RU
186,Hoppip,grass,flying,Chlorophyll,Leaf Guard,Infiltrator,35,35,40,35,55,50,250,False,False,False,LC
187,Skiploom,grass,flying,Chlorophyll,Leaf Guard,Infiltrator,55,45,50,45,65,80,340,False,False,False,NFE
188,Jumpluff,grass,flying,Chlorophyll,Leaf Guard,Infiltrator,75,55,70,55,95,110,460,False,False,True,RU
189,Aipom,normal,,Run Away,Pickup,Skill Link,55,70,55,40,55,85,360,False,False,False,LC
190,Sunkern,grass,,Chlorophyll,Solar Power,Early Bird,30,30,30,30,30,30,180,False,False,False,LC
191,Sunflora,grass,,Chlorophyll,Solar Power,Early Bird,75,75,55,105,85,30,425,False,False,True,RU
192,Yanma,bug,flying,Speed Boost,Compound Eyes,Frisk,65,65,45,75,45,95,390,False,False,False,LC
193,Wooper,water,ground,Damp,Water Absorb,Unaware,55,45,45,25,25,15,210,False,False,False,LC
194,Quagsire,water,ground,Damp,Water Absorb,Unaware,95,85,85,65,65,35,430,False,False,True,RU
195,Espeon,psychic,,Synchronize,Magic Bounce,,65,65,60,130,95,110,525,False,False,True,RU
196,Umbreon,dark,,Synchronize,Inner Focus,,95,65,110,60,130,65,525,False,False,True,RU
197,Murkrow,dark,flying,Insomnia,Super Luck,Prankster,60,85,42,85,42,91,405,False,False,False,NFE
198,Slowking,water,psychic,Oblivious,Own Tempo,Regenerator,95,75,80,100,110,30,490,False,False,True,RU
199,Misdreavus,ghost,,Levitate,,,60,60,60,85,85,85,435,False,False,False,NFE
200,Unown,psychic,,Levitate,,,48,72,48,72,48,48,336,False,False,True,RU
201,Wobbuffet,psychic,,Shadow Tag,Telepathy,,190,33,58,33,58,33,405,False,False,True,RU
202,Girafarig,normal,psychic,Inner Focus,Early Bird,Sap Sipper,70,80,65,90,65,85,455,False,False,False,NFE
203,Pineco,bug,,Sturdy,Overcoat,,50,65,90,35,35,15,290,False,False,False,LC
204,Forretress,bug,steel,Sturdy,Overcoat,,75,90,140,60,60,40,465,False,False,True,RU
205,Dunsparce,normal,,Serene Grace,Run Away,Rattled,100,70,70,65,65,45,415,False,False,False,NFE
206,Gligar,ground,flying,Hyper Cutter,Sand Veil,Immunity,65,75,105,35,65,85,430,False,False,False,LC
207,Steelix,steel,ground,Rock Head,Sturdy,Sheer Force,75,85,200,55,65,30,510,False,False,True,RU
208,Snubbull,fairy,,Intimidate,Run Away,Rattled,60,80,50,40,40,30,300,False,False,False,LC
209,Granbull,fairy,,Intimidate,Quick Feet,Rattled,90,120,75,60,60,45,450,False,False,True,RU
210,Qwilfish,water,poison,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,440,False,False,True,RU
211,Scizor,bug,steel,Swarm,Technician,Light Metal,70,130,100,55,80,65,500,False,False,True,RU
212,Shuckle,bug,rock,Sturdy,Gluttony,Contrary,20,10,230,10,230,5,505,False,False,True,RU
213,Heracross,bug,fighting,Swarm,Guts,Moxie,80,125,75,40,95,85,500,False,False,True,RU
214,Sneasel,dark,ice,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,430,False,False,False,NFE
215,Teddiursa,normal,,Pickup,Quick Feet,Honey Gather,60,80,50,50,50,40,330,False,False,False,LC
216,Ursaring,normal,,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,500,False,False,False,RU
217,Slugma,fire,,Magma Armor,Flame Body,Weak Armor,40,40,40,70,40,20,250,False,False,False,LC
218,Magcargo,fire,rock,Magma Armor,Flame Body,Weak Armor,60,50,120,90,80,30,430,False,False,True,RU
219,Swinub,ice,ground,Oblivious,Snow Cloak,Thick Fat,50,50,40,30,30,50,250,False,False,False,LC
220,Piloswine,ice,ground,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,450,False,False,False,NFE
221,Corsola,water,rock,Hustle,Natural Cure,Regenerator,65,55,95,65,95,35,410,False,False,True,RU
222,Remoraid,water,,Hustle,Sniper,Moody,35,65,35,65,35,65,300,False,False,False,LC
223,Octillery,water,,Suction Cups,Sniper,Moody,75,105,75,105,75,45,480,False,False,True,RU
224,Delibird,ice,flying,Vital Spirit,Hustle,Insomnia,45,55,45,65,45,75,330,False,False,True,RU
225,Mantine,water,flying,Swift Swim,Water Absorb,Water Veil,85,40,70,80,140,70,485,False,False,True,RU
226,Skarmory,steel,flying,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,465,False,False,True,UU
227,Houndour,dark,fire,Early Bird,Flash Fire,Unnerve,45,60,30,80,50,65,330,False,False,False,LC
228,Houndoom,dark,fire,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,500,False,False,True,RU
229,Kingdra,water,dragon,Swift Swim,Sniper,Damp,75,95,95,95,95,85,540,False,False,True,RU
230,Phanpy,ground,,Pickup,Sand Veil,,90,60,60,40,40,40,330,False,False,False,LC
231,Donphan,ground,,Sturdy,Sand Veil,,90,120,120,60,60,50,500,False,False,True,RU
232,Porygon2,normal,,Trace,Download,Analytic,85,80,90,105,95,60,515,False,False,False,NFE
233,Stantler,normal,,Intimidate,Frisk,Sap Sipper,73,95,62,85,65,85,465,False,False,False,RU
234,Smeargle,normal,,Own Tempo,Technician,Moody,55,20,35,20,45,75,250,False,False,True,RU
235,Tyrogue,fighting,,Guts,Steadfast,Vital Spirit,35,35,35,35,35,35,210,False,False,False,LC
236,Hitmontop,fighting,,Intimidate,Technician,Steadfast,50,95,95,35,110,70,455,False,False,True,RU
237,Smoochum,ice,psychic,Oblivious,Forewarn,Hydration,45,30,15,85,65,65,305,False,False,False,LC
238,Elekid,electric,,Static,Vital Spirit,,45,63,37,65,55,95,360,False,False,False,LC
239,Magby,fire,,Flame Body,Vital Spirit,,45,75,37,70,55,83,365,False,False,False,LC
240,Miltank,normal,,Thick Fat,Scrappy,Sap Sipper,95,80,105,40,70,100,490,False,False,True,RU
241,Blissey,normal,,Natural Cure,Serene Grace,Healer,255,10,10,75,135,55,540,False,False,True,UU
242,Raikou,electric,,Pressure,Inner Focus,,90,85,75,115,100,115,580,False,True,True,RU
243,Entei,fire,,Pressure,Inner Focus,,115,115,85,90,75,100,580,False,True,True,RU
244,Suicune,water,,Pressure,Inner Focus,,100,75,115,90,115,85,580,False,True,True,RU
245,Larvitar,rock,ground,Guts,Sand Veil,,50,64,50,45,50,41,300,False,False,False,LC
246,Pupitar,rock,ground,Shed Skin,,,70,84,70,65,70,51,410,False,False,False,NFE
247,Tyranitar,rock,dark,Sand Stream,Unnerve,,100,134,110,95,100,61,600,False,False,True,UU
248,Lugia,psychic,flying,Pressure,Multiscale,,106,90,130,90,154,110,680,False,True,True,Uber
249,Ho-Oh,fire,flying,Pressure,Regenerator,,106,130,90,110,154,90,680,False,True,True,Uber
250,Celebi,psychic,grass,Natural Cure,,,100,100,100,100,100,100,600,False,True,True,RU
251,Treecko,grass,,Overgrow,Unburden,,40,45,35,65,55,70,310,False,False,False,LC
252,Grovyle,grass,,Overgrow,Unburden,,50,65,45,85,65,95,405,False,False,False,NFE
253,Sceptile,grass,,Overgrow,Unburden,,70,85,65,105,85,120,530,False,False,True,RU
254,Torchic,fire,,Blaze,Speed Boost,,45,60,40,70,50,45,310,False,False,False,LC
255,Combusken,fire,fighting,Blaze,Speed Boost,,60,85,60,85,60,55,405,False,False,False,NFE
256,Blaziken,fire,fighting,Blaze,Speed Boost,,80,120,70,110,70,80,530,False,False,True,UU
257,Mudkip,water,,Torrent,Damp,,50,70,50,50,50,40,310,False,False,False,LC
258,Marshtomp,water,ground,Torrent,Damp,,70,85,70,60,70,50,405,False,False,False,NFE
259,Swampert,water,ground,Torrent,Damp,,100,110,90,85,90,60,535,False,False,True,RU
260,Poochyena,dark,,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,220,False,False,False,LC
261,Mightyena,dark,,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,420,False,False,True,RU
262,Zigzagoon,normal,,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,240,False,False,False,LC
263,Linoone,normal,,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,420,False,False,True,RU
264,Wurmple,bug,,Shield Dust,Run Away,,45,45,35,20,30,20,195,False,False,False,LC
